epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,203.871,0.36817,0.41275,0.86648,0.96333,0.99251,0.99062,0.9313,0.35159,0.34589,0.83435,0.000424556,0.000424556,0.000424556
73,206.445,0.40009,0.40921,0.86685,0.97289,0.99729,0.99209,0.93936,0.34358,0.32801,0.82902,0.000410409,0.000410409,0.000410409
74,209.09,0.35642,0.41668,0.86904,0.97587,0.99123,0.99239,0.93765,0.3472,0.30206,0.83058,0.000396262,0.000396262,0.000396262
75,211.686,0.39211,0.40505,0.87684,0.98605,0.99632,0.99209,0.94603,0.34645,0.28744,0.83266,0.000382115,0.000382115,0.000382115
76,214.29,0.37687,0.37953,0.87565,0.9865,1,0.99457,0.94215,0.34393,0.28825,0.83245,0.000367967,0.000367967,0.000367967
77,216.877,0.35285,0.36097,0.85915,0.98892,1,0.995,0.95,0.34452,0.27407,0.83476,0.00035382,0.00035382,0.00035382
78,219.428,0.3701,0.38354,0.88136,0.99511,0.99511,0.995,0.95029,0.3368,0.2682,0.82781,0.000339673,0.000339673,0.000339673
79,221.951,0.34324,0.362,0.87417,0.98999,0.99555,0.995,0.94525,0.33971,0.26198,0.82743,0.000325526,0.000325526,0.000325526
80,224.522,0.35732,0.38145,0.8729,0.98232,0.99996,0.995,0.94604,0.34382,0.26688,0.82822,0.000311379,0.000311379,0.000311379
81,227.043,0.36633,0.38704,0.86067,0.97955,1,0.995,0.93511,0.34175,0.25883,0.8306,0.000297232,0.000297232,0.000297232
82,229.661,0.33141,0.38772,0.86801,0.97855,0.9976,0.995,0.93981,0.33554,0.25696,0.83242,0.000283085,0.000283085,0.000283085
83,232.179,0.33476,0.35857,0.86785,0.99161,0.99179,0.995,0.93723,0.34483,0.2576,0.83613,0.000268938,0.000268938,0.000268938
84,234.715,0.33095,0.46896,0.87827,0.99697,0.99288,0.995,0.93451,0.35199,0.25956,0.83664,0.000254791,0.000254791,0.000254791
85,237.258,0.33396,0.34497,0.85132,0.99648,0.99755,0.995,0.93599,0.34279,0.2644,0.83375,0.000240644,0.000240644,0.000240644
86,239.825,0.33449,0.34921,0.86555,0.98843,0.99502,0.99483,0.92889,0.35262,0.26451,0.83829,0.000226497,0.000226497,0.000226497
87,242.372,0.34034,0.36055,0.86016,0.99371,0.99123,0.99467,0.92695,0.37241,0.27073,0.84715,0.000212349,0.000212349,0.000212349
88,244.997,0.34277,0.34321,0.87478,0.99353,0.98669,0.99483,0.94021,0.34218,0.25563,0.83573,0.000198202,0.000198202,0.000198202
89,247.535,0.3394,0.34359,0.86434,0.98377,0.98773,0.99483,0.94193,0.33736,0.25749,0.83208,0.000184055,0.000184055,0.000184055
90,250.196,0.3308,0.33302,0.8727,0.98164,0.99048,0.995,0.947,0.33921,0.25994,0.83176,0.000169908,0.000169908,0.000169908
91,268.267,0.26906,0.353,0.82918,0.98099,0.98246,0.99417,0.94431,0.35266,0.26844,0.83405,0.000155761,0.000155761,0.000155761
92,270.78,0.263,0.39852,0.80457,0.97977,0.98246,0.99417,0.94267,0.34314,0.26518,0.82964,0.000141614,0.000141614,0.000141614
93,273.355,0.28193,0.44322,0.83819,0.98013,0.98246,0.99417,0.94906,0.33262,0.2647,0.82648,0.000127467,0.000127467,0.000127467
94,276.002,0.26111,0.33716,0.81448,0.98097,0.98246,0.9944,0.95555,0.33014,0.26684,0.82518,0.00011332,0.00011332,0.00011332
95,278.574,0.26143,0.33959,0.81579,0.98551,0.97997,0.9944,0.95357,0.32942,0.25911,0.82517,9.91726e-05,9.91726e-05,9.91726e-05
96,281.247,0.266,0.33552,0.82002,0.9907,0.97994,0.99417,0.95515,0.3318,0.25158,0.82635,8.50255e-05,8.50255e-05,8.50255e-05
97,283.801,0.27714,0.32072,0.80662,0.9913,0.97983,0.99417,0.95398,0.33275,0.252,0.82627,7.08784e-05,7.08784e-05,7.08784e-05
98,286.39,0.2425,0.31756,0.79107,0.99398,0.97368,0.99399,0.95165,0.33301,0.25618,0.82565,5.67313e-05,5.67313e-05,5.67313e-05
99,288.862,0.24201,0.32322,0.80562,0.99428,0.97368,0.99399,0.95192,0.33182,0.26067,0.82504,4.25842e-05,4.25842e-05,4.25842e-05
100,291.403,0.25553,0.33113,0.79268,0.99434,0.97368,0.99399,0.95156,0.33208,0.26004,0.8251,2.84371e-05,2.84371e-05,2.84371e-05
